,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
51494,RightFoot,OpenPlay,Goal,0.021469922736287117,56,2,0,Mauro Zárate,939,a,West Ham,Arsenal,,2015-08-09 16:30:00,88,2015,"(0.759000015258789, 0.674000015258789)"
51486,RightFoot,FromCorner,MissedShots,0.04060553386807442,35,2,0,Mauro Zárate,939,a,West Ham,Arsenal,Dimitri Payet,2015-08-09 16:30:00,88,2015,"(0.845, 0.3729999923706055)"
51488,Head,SetPiece,Goal,0.2970609664916992,42,2,0,Cheikhou Kouyaté,532,a,West Ham,Arsenal,Dimitri Payet,2015-08-09 16:30:00,88,2015,"(0.9159999847412109, 0.48200000762939454)"
51479,LeftFoot,OpenPlay,BlockedShot,0.019972501322627068,17,2,0,Aaron Cresswell,534,a,West Ham,Arsenal,Mauro Zárate,2015-08-09 16:30:00,88,2015,"(0.7709999847412109, 0.6819999694824219)"
51485,RightFoot,OpenPlay,BlockedShot,0.022079171612858772,35,2,0,Dimitri Payet,536,a,West Ham,Arsenal,Cheikhou Kouyaté,2015-08-09 16:30:00,88,2015,"(0.765, 0.4329999923706055)"
51482,RightFoot,OpenPlay,MissedShots,0.022996913641691208,28,2,0,Diafra Sakho,656,a,West Ham,Arsenal,Aaron Cresswell,2015-08-09 16:30:00,88,2015,"(0.8430000305175781, 0.750999984741211)"
51503,LeftFoot,OpenPlay,SavedShot,0.029268985614180565,89,2,0,Modibo Maiga,1029,a,West Ham,Arsenal,James Tomkins,2015-08-09 16:30:00,88,2015,"(0.725999984741211, 0.5059999847412109)"
51498,RightFoot,OpenPlay,SavedShot,0.08250683546066284,80,2,0,Diafra Sakho,656,a,West Ham,Arsenal,Cheikhou Kouyaté,2015-08-09 16:30:00,88,2015,"(0.9169999694824219, 0.345)"
51947,LeftFoot,SetPiece,BlockedShot,0.035763975232839584,16,1,2,Mauro Zárate,939,h,West Ham,Leicester,,2015-08-15 18:00:00,97,2015,"(0.79, 0.620999984741211)"
51957,LeftFoot,OpenPlay,BlockedShot,0.030292455106973648,49,1,2,Mark Noble,533,h,West Ham,Leicester,Dimitri Payet,2015-08-15 18:00:00,97,2015,"(0.8380000305175781, 0.35700000762939454)"
51956,RightFoot,OpenPlay,MissedShots,0.03398050367832184,47,1,2,Diafra Sakho,656,h,West Ham,Leicester,Dimitri Payet,2015-08-15 18:00:00,97,2015,"(0.8290000152587891, 0.3509999847412109)"
51966,LeftFoot,OpenPlay,SavedShot,0.09599775820970535,80,1,2,Diafra Sakho,656,h,West Ham,Leicester,Manuel Lanzini,2015-08-15 18:00:00,97,2015,"(0.9169999694824219, 0.5570000076293945)"
51955,Head,OpenPlay,MissedShots,0.030150333419442177,42,1,2,Cheikhou Kouyaté,532,h,West Ham,Leicester,Aaron Cresswell,2015-08-15 18:00:00,97,2015,"(0.9459999847412109, 0.37900001525878907)"
51961,RightFoot,OpenPlay,BlockedShot,0.05694745108485222,61,1,2,Dimitri Payet,536,h,West Ham,Leicester,,2015-08-15 18:00:00,97,2015,"(0.8380000305175781, 0.6580000305175782)"
51959,RightFoot,OpenPlay,Goal,0.09902071952819824,54,1,2,Dimitri Payet,536,h,West Ham,Leicester,Cheikhou Kouyaté,2015-08-15 18:00:00,97,2015,"(0.86, 0.4909999847412109)"
51958,RightFoot,OpenPlay,BlockedShot,0.06598027795553207,54,1,2,Dimitri Payet,536,h,West Ham,Leicester,Mark Noble,2015-08-15 18:00:00,97,2015,"(0.8219999694824218, 0.4929999923706055)"
51948,RightFoot,OpenPlay,MissedShots,0.023028917610645294,21,1,2,Carl Jenkinson,938,h,West Ham,Leicester,Dimitri Payet,2015-08-15 18:00:00,97,2015,"(0.8369999694824218, 0.24799999237060547)"
51960,Head,FromCorner,SavedShot,0.04232848808169365,59,1,2,Diafra Sakho,656,h,West Ham,Leicester,Mauro Zárate,2015-08-15 18:00:00,97,2015,"(0.9590000152587891, 0.39299999237060546)"
57307,RightFoot,OpenPlay,SavedShot,0.0642278864979744,52,3,4,Diafra Sakho,656,h,West Ham,Bournemouth,Carl Jenkinson,2015-08-22 18:00:00,106,2015,"(0.9769999694824218, 0.3390000152587891)"
57302,RightFoot,OpenPlay,BlockedShot,0.011961793527007103,45,3,4,Pedro Obiang,542,h,West Ham,Bournemouth,Dimitri Payet,2015-08-22 18:00:00,106,2015,"(0.7609999847412109, 0.5479999923706055)"
57309,RightFoot,OpenPlay,MissedShots,0.022189537063241005,54,3,4,Diafra Sakho,656,h,West Ham,Bournemouth,Aaron Cresswell,2015-08-22 18:00:00,106,2015,"(0.8280000305175781, 0.7530000305175781)"
57295,Head,FromCorner,MissedShots,0.032065458595752716,17,3,4,Cheikhou Kouyaté,532,h,West Ham,Bournemouth,Aaron Cresswell,2015-08-22 18:00:00,106,2015,"(0.9359999847412109, 0.38)"
57315,RightFoot,OpenPlay,Goal,0.2082703709602356,81,3,4,Modibo Maiga,1029,h,West Ham,Bournemouth,Aaron Cresswell,2015-08-22 18:00:00,106,2015,"(0.845, 0.505)"
57317,RightFoot,OpenPlay,BlockedShot,0.03845171257853508,92,3,4,Cheikhou Kouyaté,532,h,West Ham,Bournemouth,Mark Noble,2015-08-22 18:00:00,106,2015,"(0.85, 0.30700000762939456)"
57305,RightFoot,Penalty,Goal,0.7611688375473022,47,3,4,Mark Noble,533,h,West Ham,Bournemouth,,2015-08-22 18:00:00,106,2015,"(0.885, 0.5)"
57313,RightFoot,FromCorner,MissedShots,0.025106633082032204,77,3,4,Mark Noble,533,h,West Ham,Bournemouth,,2015-08-22 18:00:00,106,2015,"(0.8180000305175781, 0.35)"
57306,RightFoot,OpenPlay,BlockedShot,0.04106748104095459,51,3,4,Dimitri Payet,536,h,West Ham,Bournemouth,Diafra Sakho,2015-08-22 18:00:00,106,2015,"(0.7980000305175782, 0.6329999923706054)"
57308,RightFoot,OpenPlay,Goal,0.3179406523704529,52,3,4,Cheikhou Kouyaté,532,h,West Ham,Bournemouth,,2015-08-22 18:00:00,106,2015,"(0.9730000305175781, 0.38599998474121094)"
57545,RightFoot,OpenPlay,BlockedShot,0.05299641937017441,25,3,0,Cheikhou Kouyaté,532,a,West Ham,Liverpool,Dimitri Payet,2015-08-29 18:00:00,116,2015,"(0.855, 0.6969999694824218)"
57555,RightFoot,OpenPlay,BlockedShot,0.02378397062420845,70,3,0,Cheikhou Kouyaté,532,a,West Ham,Liverpool,,2015-08-29 18:00:00,116,2015,"(0.8319999694824218, 0.25299999237060544)"
57543,RightFoot,OpenPlay,MissedShots,0.050176966935396194,15,3,0,Manuel Lanzini,535,a,West Ham,Liverpool,Dimitri Payet,2015-08-29 18:00:00,116,2015,"(0.789000015258789, 0.47700000762939454)"
57547,RightFoot,OpenPlay,Goal,0.08792746067047119,28,3,0,Mark Noble,533,a,West Ham,Liverpool,,2015-08-29 18:00:00,116,2015,"(0.845999984741211, 0.515)"
57548,RightFoot,SetPiece,MissedShots,0.012388771399855614,35,3,0,Mark Noble,533,a,West Ham,Liverpool,,2015-08-29 18:00:00,116,2015,"(0.775, 0.5609999847412109)"
57546,RightFoot,OpenPlay,MissedShots,0.07457215338945389,25,3,0,Aaron Cresswell,534,a,West Ham,Liverpool,,2015-08-29 18:00:00,116,2015,"(0.8419999694824218, 0.53)"
57562,LeftFoot,OpenPlay,Goal,0.08702298253774643,91,3,0,Diafra Sakho,656,a,West Ham,Liverpool,,2015-08-29 18:00:00,116,2015,"(0.8619999694824219, 0.42900001525878906)"
57557,LeftFoot,OpenPlay,SavedShot,0.08038297295570374,75,3,0,Aaron Cresswell,534,a,West Ham,Liverpool,Mark Noble,2015-08-29 18:00:00,116,2015,"(0.95, 0.700999984741211)"
57558,RightFoot,FromCorner,BlockedShot,0.023029344156384468,76,3,0,Manuel Lanzini,535,a,West Ham,Liverpool,Aaron Cresswell,2015-08-29 18:00:00,116,2015,"(0.784000015258789, 0.2520000076293945)"
57556,RightFoot,OpenPlay,SavedShot,0.017567969858646393,70,3,0,Cheikhou Kouyaté,532,a,West Ham,Liverpool,,2015-08-29 18:00:00,116,2015,"(0.735999984741211, 0.4279999923706055)"
57540,RightFoot,OpenPlay,Goal,0.42129725217819214,2,3,0,Manuel Lanzini,535,a,West Ham,Liverpool,Aaron Cresswell,2015-08-29 18:00:00,116,2015,"(0.92, 0.42700000762939455)"
57559,Head,FromCorner,MissedShots,0.0449761226773262,76,3,0,Winston Reid,529,a,West Ham,Liverpool,Dimitri Payet,2015-08-29 18:00:00,116,2015,"(0.9219999694824219, 0.47)"
58028,RightFoot,OpenPlay,MissedShots,0.04954584315419197,44,2,0,Mark Noble,533,h,West Ham,Newcastle United,Dimitri Payet,2015-09-14 23:00:00,130,2015,"(0.865, 0.3729999923706055)"
58045,LeftFoot,FromCorner,SavedShot,0.14868049323558807,84,2,0,Diafra Sakho,656,h,West Ham,Newcastle United,Cheikhou Kouyaté,2015-09-14 23:00:00,130,2015,"(0.9590000152587891, 0.4759999847412109)"
58023,RightFoot,SetPiece,MissedShots,0.024435633793473244,22,2,0,Diafra Sakho,656,h,West Ham,Newcastle United,James Tomkins,2015-09-14 23:00:00,130,2015,"(0.7859999847412109, 0.42900001525878906)"
58037,LeftFoot,OpenPlay,BlockedShot,0.0799206867814064,69,2,0,Pedro Obiang,542,h,West Ham,Newcastle United,,2015-09-14 23:00:00,130,2015,"(0.865999984741211, 0.30100000381469727)"
58036,LeftFoot,DirectFreekick,MissedShots,0.05917462706565857,68,2,0,Aaron Cresswell,534,h,West Ham,Newcastle United,,2015-09-14 23:00:00,130,2015,"(0.8540000152587891, 0.20899999618530274)"
58032,LeftFoot,OpenPlay,BlockedShot,0.03420830890536308,51,2,0,Aaron Cresswell,534,h,West Ham,Newcastle United,Dimitri Payet,2015-09-14 23:00:00,130,2015,"(0.8080000305175781, 0.715)"
58040,RightFoot,OpenPlay,BlockedShot,0.10592936724424362,72,2,0,Diafra Sakho,656,h,West Ham,Newcastle United,,2015-09-14 23:00:00,130,2015,"(0.8630000305175781, 0.635)"
58017,RightFoot,OpenPlay,Goal,0.053603943437337875,8,2,0,Dimitri Payet,536,h,West Ham,Newcastle United,Mark Noble,2015-09-14 23:00:00,130,2015,"(0.8090000152587891, 0.5320000076293945)"
58020,LeftFoot,OpenPlay,MissedShots,0.09861205518245697,17,2,0,Dimitri Payet,536,h,West Ham,Newcastle United,Manuel Lanzini,2015-09-14 23:00:00,130,2015,"(0.875, 0.47)"
58044,RightFoot,FromCorner,BlockedShot,0.03431801497936249,84,2,0,Winston Reid,529,h,West Ham,Newcastle United,Dimitri Payet,2015-09-14 23:00:00,130,2015,"(0.795, 0.46799999237060547)"
58030,RightFoot,OpenPlay,Goal,0.4880039095878601,47,2,0,Dimitri Payet,536,h,West Ham,Newcastle United,,2015-09-14 23:00:00,130,2015,"(0.889000015258789, 0.42900001525878906)"
58024,RightFoot,OpenPlay,MissedShots,0.024052197113633156,24,2,0,Manuel Lanzini,535,h,West Ham,Newcastle United,Dimitri Payet,2015-09-14 23:00:00,130,2015,"(0.735999984741211, 0.5109999847412109)"
58047,LeftFoot,OpenPlay,BlockedShot,0.02120787277817726,92,2,0,Andy Carroll,537,h,West Ham,Newcastle United,Dimitri Payet,2015-09-14 23:00:00,130,2015,"(0.7440000152587891, 0.6359999847412109)"
58027,RightFoot,OpenPlay,MissedShots,0.11749369651079178,42,2,0,Victor Moses,541,h,West Ham,Newcastle United,Dimitri Payet,2015-09-14 23:00:00,130,2015,"(0.879000015258789, 0.3629999923706055)"
58039,Head,OpenPlay,MissedShots,0.08389456570148468,70,2,0,Diafra Sakho,656,h,West Ham,Newcastle United,Carl Jenkinson,2015-09-14 23:00:00,130,2015,"(0.9269999694824219, 0.425)"
58038,RightFoot,OpenPlay,BlockedShot,0.06131347641348839,70,2,0,Victor Moses,541,h,West Ham,Newcastle United,Dimitri Payet,2015-09-14 23:00:00,130,2015,"(0.825, 0.3139999961853027)"
58029,RightFoot,OpenPlay,ShotOnPost,0.45611023902893066,47,2,0,Victor Moses,541,h,West Ham,Newcastle United,Diafra Sakho,2015-09-14 23:00:00,130,2015,"(0.87, 0.5790000152587891)"
58162,Head,FromCorner,MissedShots,0.08769869804382324,30,2,1,Winston Reid,529,a,West Ham,Manchester City,Dimitri Payet,2015-09-19 20:30:00,137,2015,"(0.9130000305175782, 0.505)"
58171,LeftFoot,OpenPlay,MissedShots,0.028599513694643974,45,2,1,Victor Moses,541,a,West Ham,Manchester City,Manuel Lanzini,2015-09-19 20:30:00,137,2015,"(0.8530000305175781, 0.305)"
58189,RightFoot,OpenPlay,SavedShot,0.011482235044240952,88,2,1,Dimitri Payet,536,a,West Ham,Manchester City,,2015-09-19 20:30:00,137,2015,"(0.710999984741211, 0.69)"
58177,RightFoot,OpenPlay,MissedShots,0.2132205367088318,57,2,1,Diafra Sakho,656,a,West Ham,Manchester City,Dimitri Payet,2015-09-19 20:30:00,137,2015,"(0.905, 0.6909999847412109)"
58163,RightFoot,FromCorner,Goal,0.6344377398490906,30,2,1,Diafra Sakho,656,a,West Ham,Manchester City,Pedro Obiang,2015-09-19 20:30:00,137,2015,"(0.97, 0.45599998474121095)"
58159,RightFoot,OpenPlay,Goal,0.01983422227203846,5,2,1,Victor Moses,541,a,West Ham,Manchester City,Dimitri Payet,2015-09-19 20:30:00,137,2015,"(0.7440000152587891, 0.3729999923706055)"
58623,RightFoot,OpenPlay,BlockedShot,0.021939169615507126,94,2,2,Cheikhou Kouyaté,532,h,West Ham,Norwich,Mauro Zárate,2015-09-26 18:00:00,147,2015,"(0.7819999694824219, 0.44299999237060544)"
58608,LeftFoot,OpenPlay,MissedShots,0.08225718885660172,55,2,2,Cheikhou Kouyaté,532,h,West Ham,Norwich,,2015-09-26 18:00:00,147,2015,"(0.8780000305175781, 0.42900001525878906)"
58591,OtherBodyPart,SetPiece,SavedShot,0.17754146456718445,4,2,2,Cheikhou Kouyaté,532,h,West Ham,Norwich,Dimitri Payet,2015-09-26 18:00:00,147,2015,"(0.9330000305175781, 0.5259999847412109)"
58620,LeftFoot,OpenPlay,BlockedShot,0.0605560764670372,89,2,2,Winston Reid,529,h,West Ham,Norwich,,2015-09-26 18:00:00,147,2015,"(0.865999984741211, 0.59)"
58595,RightFoot,OpenPlay,MissedShots,0.010936636477708817,20,2,2,James Tomkins,530,h,West Ham,Norwich,Mark Noble,2015-09-26 18:00:00,147,2015,"(0.66, 0.38)"
58609,RightFoot,OpenPlay,SavedShot,0.09339357912540436,59,2,2,Dimitri Payet,536,h,West Ham,Norwich,Diafra Sakho,2015-09-26 18:00:00,147,2015,"(0.87, 0.375)"
58602,Head,FromCorner,SavedShot,0.06220743805170059,39,2,2,Winston Reid,529,h,West Ham,Norwich,Dimitri Payet,2015-09-26 18:00:00,147,2015,"(0.9230000305175782, 0.5770000076293945)"
58621,RightFoot,SetPiece,Goal,0.4845869839191437,92,2,2,Cheikhou Kouyaté,532,h,West Ham,Norwich,Andy Carroll,2015-09-26 18:00:00,147,2015,"(0.9519999694824218, 0.4329999923706055)"
58607,Head,OpenPlay,SavedShot,0.3693888783454895,55,2,2,Diafra Sakho,656,h,West Ham,Norwich,Victor Moses,2015-09-26 18:00:00,147,2015,"(0.9259999847412109, 0.5379999923706055)"
58597,RightFoot,OpenPlay,MissedShots,0.01085677556693554,29,2,2,Manuel Lanzini,535,h,West Ham,Norwich,Cheikhou Kouyaté,2015-09-26 18:00:00,147,2015,"(0.7319999694824219, 0.4420000076293945)"
58590,RightFoot,OpenPlay,BlockedShot,0.027070213109254837,1,2,2,Diafra Sakho,656,h,West Ham,Norwich,Dimitri Payet,2015-09-26 18:00:00,147,2015,"(0.8569999694824219, 0.245)"
58619,RightFoot,OpenPlay,SavedShot,0.5647392868995667,89,2,2,Diafra Sakho,656,h,West Ham,Norwich,Carl Jenkinson,2015-09-26 18:00:00,147,2015,"(0.9540000152587891, 0.47200000762939454)"
58612,RightFoot,OpenPlay,MissedShots,0.040856361389160156,69,2,2,Diafra Sakho,656,h,West Ham,Norwich,,2015-09-26 18:00:00,147,2015,"(0.7709999847412109, 0.4259999847412109)"
58610,Head,FromCorner,MissedShots,0.07850196957588196,59,2,2,Diafra Sakho,656,h,West Ham,Norwich,Dimitri Payet,2015-09-26 18:00:00,147,2015,"(0.91, 0.5220000076293946)"
58600,RightFoot,OpenPlay,BlockedShot,0.016948003321886063,37,2,2,Manuel Lanzini,535,h,West Ham,Norwich,Dimitri Payet,2015-09-26 18:00:00,147,2015,"(0.7959999847412109, 0.6990000152587891)"
58606,Head,SetPiece,MissedShots,0.009914645925164223,52,2,2,Diafra Sakho,656,h,West Ham,Norwich,James Tomkins,2015-09-26 18:00:00,147,2015,"(0.8680000305175781, 0.5420000076293945)"
58601,RightFoot,OpenPlay,MissedShots,0.072761170566082,38,2,2,Diafra Sakho,656,h,West Ham,Norwich,Cheikhou Kouyaté,2015-09-26 18:00:00,147,2015,"(0.8580000305175781, 0.5609999847412109)"
58598,RightFoot,OpenPlay,Goal,0.43765655159950256,32,2,2,Diafra Sakho,656,h,West Ham,Norwich,Dimitri Payet,2015-09-26 18:00:00,147,2015,"(0.925, 0.52)"
58599,RightFoot,DirectFreekick,MissedShots,0.046538449823856354,35,2,2,Manuel Lanzini,535,h,West Ham,Norwich,,2015-09-26 18:00:00,147,2015,"(0.7219999694824218, 0.545)"
58858,RightFoot,OpenPlay,MissedShots,0.09511543810367584,80,2,2,Nikica Jelavic,940,a,West Ham,Sunderland,Dimitri Payet,2015-10-03 18:00:00,156,2015,"(0.895, 0.46900001525878904)"
58835,RightFoot,OpenPlay,MissedShots,0.014656180515885353,13,2,2,Manuel Lanzini,535,a,West Ham,Sunderland,Victor Moses,2015-10-03 18:00:00,156,2015,"(0.710999984741211, 0.385)"
58839,RightFoot,OpenPlay,BlockedShot,0.013052942231297493,28,2,2,Victor Moses,541,a,West Ham,Sunderland,Mark Noble,2015-10-03 18:00:00,156,2015,"(0.725, 0.345)"
58855,LeftFoot,OpenPlay,MissedShots,0.6346718668937683,62,2,2,Nikica Jelavic,940,a,West Ham,Sunderland,Dimitri Payet,2015-10-03 18:00:00,156,2015,"(0.9730000305175781, 0.5420000076293945)"
58846,LeftFoot,OpenPlay,Goal,0.08008541166782379,45,2,2,Carl Jenkinson,938,a,West Ham,Sunderland,Victor Moses,2015-10-03 18:00:00,156,2015,"(0.889000015258789, 0.47400001525878904)"
58859,RightFoot,OpenPlay,SavedShot,0.022131016477942467,81,2,2,Mauro Zárate,939,a,West Ham,Sunderland,Dimitri Payet,2015-10-03 18:00:00,156,2015,"(0.795, 0.7069999694824218)"
58860,RightFoot,OpenPlay,BlockedShot,0.12693725526332855,81,2,2,Diafra Sakho,656,a,West Ham,Sunderland,Mauro Zárate,2015-10-03 18:00:00,156,2015,"(0.950999984741211, 0.4470000076293945)"
58852,RightFoot,OpenPlay,MissedShots,0.009419930167496204,58,2,2,Diafra Sakho,656,a,West Ham,Sunderland,Nikica Jelavic,2015-10-03 18:00:00,156,2015,"(0.715, 0.7709999847412109)"
58845,RightFoot,OpenPlay,BlockedShot,0.03817971795797348,42,2,2,Diafra Sakho,656,a,West Ham,Sunderland,Mark Noble,2015-10-03 18:00:00,156,2015,"(0.9209999847412109, 0.27399999618530274)"
58856,Head,FromCorner,MissedShots,0.024758346378803253,69,2,2,Nikica Jelavic,940,a,West Ham,Sunderland,Dimitri Payet,2015-10-03 18:00:00,156,2015,"(0.8819999694824219, 0.59)"
58841,RightFoot,OpenPlay,MissedShots,0.07225791364908218,31,2,2,Diafra Sakho,656,a,West Ham,Sunderland,Aaron Cresswell,2015-10-03 18:00:00,156,2015,"(0.89, 0.509000015258789)"
58851,RightFoot,OpenPlay,MissedShots,0.02018614299595356,55,2,2,Manuel Lanzini,535,a,West Ham,Sunderland,,2015-10-03 18:00:00,156,2015,"(0.75, 0.5940000152587891)"
