,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
310219,RightFoot,OpenPlay,SavedShot,0.025801951065659523,83,0,1,Allan Saint-Maximin,101,h,Newcastle United,Arsenal,Jetro Willems,2019-08-11 14:00:00,11650,2019,"(0.8080000305175781, 0.6819999694824219)"
310205,Head,OpenPlay,MissedShots,0.04994481801986694,16,0,1,Joelinton,87,h,Newcastle United,Arsenal,,2019-08-11 14:00:00,11650,2019,"(0.9259999847412109, 0.5790000152587891)"
310209,LeftFoot,OpenPlay,SavedShot,0.14369338750839233,25,0,1,Joelinton,87,h,Newcastle United,Arsenal,Isaac Hayden,2019-08-11 14:00:00,11650,2019,"(0.8619999694824219, 0.5359999847412109)"
310221,LeftFoot,OpenPlay,MissedShots,0.024559978395700455,88,0,1,Joelinton,87,h,Newcastle United,Arsenal,Miguel Almirón,2019-08-11 14:00:00,11650,2019,"(0.779000015258789, 0.6140000152587891)"
310212,LeftFoot,OpenPlay,MissedShots,0.013571692630648613,38,0,1,Miguel Almirón,7420,h,Newcastle United,Arsenal,Javier Manquillo,2019-08-11 14:00:00,11650,2019,"(0.7240000152587891, 0.29100000381469726)"
310218,LeftFoot,FromCorner,BlockedShot,0.059158384799957275,67,0,1,Miguel Almirón,7420,h,Newcastle United,Arsenal,Matt Ritchie,2019-08-11 14:00:00,11650,2019,"(0.8680000305175781, 0.539000015258789)"
310206,RightFoot,OpenPlay,BlockedShot,0.03372442349791527,19,0,1,Jonjo Shelvey,769,h,Newcastle United,Arsenal,Matt Ritchie,2019-08-11 14:00:00,11650,2019,"(0.840999984741211, 0.6969999694824218)"
310220,RightFoot,OpenPlay,MissedShots,0.012174292467534542,85,0,1,Fabian Schär,76,h,Newcastle United,Arsenal,Matt Ritchie,2019-08-11 14:00:00,11650,2019,"(0.6869999694824219, 0.33799999237060546)"
310207,RightFoot,FromCorner,BlockedShot,0.01792179048061371,21,0,1,Jonjo Shelvey,769,h,Newcastle United,Arsenal,,2019-08-11 14:00:00,11650,2019,"(0.8030000305175782, 0.45099998474121095)"
310571,RightFoot,OpenPlay,Goal,0.09373199194669724,92,1,3,Jonjo Shelvey,769,a,Newcastle United,Norwich,Sean Longstaff,2019-08-17 15:00:00,11657,2019,"(0.9359999847412109, 0.6309999847412109)"
310560,Head,FromCorner,SavedShot,0.012597769498825073,60,1,3,Paul Dummett,853,a,Newcastle United,Norwich,Ki Sung-yueng,2019-08-17 15:00:00,11657,2019,"(0.960999984741211, 0.624000015258789)"
310547,RightFoot,OpenPlay,MissedShots,0.199833944439888,8,1,3,Emil Krafth,1545,a,Newcastle United,Norwich,Matt Ritchie,2019-08-17 15:00:00,11657,2019,"(0.9530000305175781, 0.3240000152587891)"
310559,Head,FromCorner,MissedShots,0.03831727057695389,48,1,3,Joelinton,87,a,Newcastle United,Norwich,Matt Ritchie,2019-08-17 15:00:00,11657,2019,"(0.9069999694824219, 0.580999984741211)"
310552,Head,OpenPlay,MissedShots,0.31456682085990906,25,1,3,Joelinton,87,a,Newcastle United,Norwich,Isaac Hayden,2019-08-17 15:00:00,11657,2019,"(0.914000015258789, 0.5420000076293945)"
310557,LeftFoot,OpenPlay,MissedShots,0.04026499018073082,45,1,3,Matt Ritchie,461,a,Newcastle United,Norwich,,2019-08-17 15:00:00,11657,2019,"(0.865999984741211, 0.69)"
310555,LeftFoot,OpenPlay,MissedShots,0.011366967111825943,34,1,3,Matt Ritchie,461,a,Newcastle United,Norwich,,2019-08-17 15:00:00,11657,2019,"(0.6959999847412109, 0.5640000152587891)"
310550,RightFoot,OpenPlay,SavedShot,0.01603429764509201,16,1,3,Matt Ritchie,461,a,Newcastle United,Norwich,Joelinton,2019-08-17 15:00:00,11657,2019,"(0.7380000305175781, 0.6329999923706054)"
310561,RightFoot,FromCorner,BlockedShot,0.09734221547842026,60,1,3,Jamaal Lascelles,766,a,Newcastle United,Norwich,Jonjo Shelvey,2019-08-17 15:00:00,11657,2019,"(0.8959999847412109, 0.53)"
310556,Head,SetPiece,SavedShot,0.009195363149046898,37,1,3,Fabian Schär,76,a,Newcastle United,Norwich,Jonjo Shelvey,2019-08-17 15:00:00,11657,2019,"(0.9430000305175781, 0.6370000076293946)"
310567,LeftFoot,OpenPlay,MissedShots,0.041574351489543915,78,1,3,Miguel Almirón,7420,a,Newcastle United,Norwich,Jonjo Shelvey,2019-08-17 15:00:00,11657,2019,"(0.8690000152587891, 0.75)"
310558,RightFoot,OpenPlay,MissedShots,0.04751666635274887,45,1,3,Isaac Hayden,6062,a,Newcastle United,Norwich,,2019-08-17 15:00:00,11657,2019,"(0.8580000305175781, 0.35700000762939454)"
313116,RightFoot,FromCorner,BlockedShot,0.015434782952070236,36,1,0,Isaac Hayden,6062,a,Newcastle United,Tottenham,,2019-08-25 16:30:00,11672,2019,"(0.7419999694824219, 0.41700000762939454)"
313118,Head,FromCorner,MissedShots,0.022383898496627808,45,1,0,Fabian Schär,76,a,Newcastle United,Tottenham,Matt Ritchie,2019-08-25 16:30:00,11672,2019,"(0.905, 0.4640000152587891)"
313123,Head,FromCorner,MissedShots,0.01506759598851204,57,1,0,Jamaal Lascelles,766,a,Newcastle United,Tottenham,Matt Ritchie,2019-08-25 16:30:00,11672,2019,"(0.9180000305175782, 0.36)"
313131,LeftFoot,OpenPlay,BlockedShot,0.10753033310174942,86,1,0,Miguel Almirón,7420,a,Newcastle United,Tottenham,Joelinton,2019-08-25 16:30:00,11672,2019,"(0.855, 0.36400001525878906)"
313130,LeftFoot,OpenPlay,BlockedShot,0.10853153467178345,82,1,0,Miguel Almirón,7420,a,Newcastle United,Tottenham,Christian Atsu,2019-08-25 16:30:00,11672,2019,"(0.9030000305175782, 0.6229999923706054)"
313124,RightFoot,OpenPlay,SavedShot,0.10533733665943146,60,1,0,Joelinton,87,a,Newcastle United,Tottenham,Christian Atsu,2019-08-25 16:30:00,11672,2019,"(0.8969999694824219, 0.4129999923706055)"
313113,RightFoot,OpenPlay,SavedShot,0.05023374408483505,22,1,0,Sean Longstaff,7078,a,Newcastle United,Tottenham,Joelinton,2019-08-25 16:30:00,11672,2019,"(0.87, 0.3029999923706055)"
313114,LeftFoot,OpenPlay,Goal,0.08976076543331146,26,1,0,Joelinton,87,a,Newcastle United,Tottenham,Christian Atsu,2019-08-25 16:30:00,11672,2019,"(0.89, 0.56)"
315888,RightFoot,OpenPlay,SavedShot,0.017474647611379623,62,1,1,Sean Longstaff,7078,h,Newcastle United,Watford,Christian Atsu,2019-08-31 15:00:00,11679,2019,"(0.725999984741211, 0.46)"
315884,RightFoot,DirectFreekick,MissedShots,0.034599483013153076,48,1,1,Sean Longstaff,7078,h,Newcastle United,Watford,,2019-08-31 15:00:00,11679,2019,"(0.71, 0.6609999847412109)"
315877,LeftFoot,FromCorner,BlockedShot,0.012160114012658596,25,1,1,Jetro Willems,6143,h,Newcastle United,Watford,Christian Atsu,2019-08-31 15:00:00,11679,2019,"(0.7969999694824219, 0.5579999923706055)"
315886,LeftFoot,OpenPlay,BlockedShot,0.13000982999801636,56,1,1,Miguel Almirón,7420,h,Newcastle United,Watford,Christian Atsu,2019-08-31 15:00:00,11679,2019,"(0.8980000305175782, 0.5420000076293945)"
315887,RightFoot,OpenPlay,SavedShot,0.019757764413952827,58,1,1,Isaac Hayden,6062,h,Newcastle United,Watford,Sean Longstaff,2019-08-31 15:00:00,11679,2019,"(0.725999984741211, 0.4759999847412109)"
315890,LeftFoot,OpenPlay,SavedShot,0.01156613975763321,63,1,1,Paul Dummett,853,h,Newcastle United,Watford,,2019-08-31 15:00:00,11679,2019,"(0.6990000152587891, 0.6329999923706054)"
315874,Head,OpenPlay,BlockedShot,0.02045612968504429,8,1,1,Isaac Hayden,6062,h,Newcastle United,Watford,Sean Longstaff,2019-08-31 15:00:00,11679,2019,"(0.8540000152587891, 0.46900001525878904)"
315883,LeftFoot,OpenPlay,SavedShot,0.030765175819396973,46,1,1,Christian Atsu,2344,h,Newcastle United,Watford,Miguel Almirón,2019-08-31 15:00:00,11679,2019,"(0.8540000152587891, 0.735)"
315897,RightFoot,OpenPlay,MissedShots,0.08367183804512024,86,1,1,Yoshinori Muto,47,h,Newcastle United,Watford,Joelinton,2019-08-31 15:00:00,11679,2019,"(0.9730000305175781, 0.3220000076293945)"
315879,RightFoot,FromCorner,BlockedShot,0.07596243172883987,35,1,1,Joelinton,87,h,Newcastle United,Watford,,2019-08-31 15:00:00,11679,2019,"(0.8669999694824219, 0.455)"
315885,Head,SetPiece,MissedShots,0.15047714114189148,54,1,1,Fabian Schär,76,h,Newcastle United,Watford,Sean Longstaff,2019-08-31 15:00:00,11679,2019,"(0.8980000305175782, 0.549000015258789)"
315878,RightFoot,FromCorner,BlockedShot,0.03229285776615143,35,1,1,Joelinton,87,h,Newcastle United,Watford,Jamaal Lascelles,2019-08-31 15:00:00,11679,2019,"(0.87, 0.45799999237060546)"
315882,LeftFoot,OpenPlay,Goal,0.4245673418045044,40,1,1,Fabian Schär,76,h,Newcastle United,Watford,Isaac Hayden,2019-08-31 15:00:00,11679,2019,"(0.9159999847412109, 0.45099998474121095)"
317035,RightFoot,OpenPlay,BlockedShot,0.057497069239616394,46,1,3,Emil Krafth,1545,a,Newcastle United,Liverpool,Joelinton,2019-09-14 11:30:00,11683,2019,"(0.885, 0.3120000076293945)"
317038,RightFoot,OpenPlay,MissedShots,0.08090256154537201,54,1,3,Emil Krafth,1545,a,Newcastle United,Liverpool,Christian Atsu,2019-09-14 11:30:00,11683,2019,"(0.9, 0.43099998474121093)"
317037,LeftFoot,OpenPlay,BlockedShot,0.019731109961867332,51,1,3,Fabian Schär,76,a,Newcastle United,Liverpool,Joelinton,2019-09-14 11:30:00,11683,2019,"(0.7669999694824219, 0.33)"
317046,RightFoot,OpenPlay,BlockedShot,0.011773483827710152,66,1,3,Isaac Hayden,6062,a,Newcastle United,Liverpool,,2019-09-14 11:30:00,11683,2019,"(0.8040000152587891, 0.6869999694824219)"
317027,RightFoot,OpenPlay,MissedShots,0.007184008602052927,18,1,3,Jonjo Shelvey,769,a,Newcastle United,Liverpool,Jetro Willems,2019-09-14 11:30:00,11683,2019,"(0.4809999847412109, 0.575)"
317023,RightFoot,OpenPlay,Goal,0.04237329959869385,6,1,3,Jetro Willems,6143,a,Newcastle United,Liverpool,Christian Atsu,2019-09-14 11:30:00,11683,2019,"(0.8809999847412109, 0.7119999694824218)"
317045,RightFoot,OpenPlay,MissedShots,0.03258948400616646,66,1,3,Jonjo Shelvey,769,a,Newcastle United,Liverpool,,2019-09-14 11:30:00,11683,2019,"(0.8119999694824219, 0.6409999847412109)"
317049,Head,OpenPlay,MissedShots,0.03902152180671692,73,1,3,Joelinton,87,a,Newcastle United,Liverpool,Christian Atsu,2019-09-14 11:30:00,11683,2019,"(0.8880000305175781, 0.46099998474121096)"
320618,Head,FromCorner,MissedShots,0.2568240761756897,30,0,0,Joelinton,87,h,Newcastle United,Brighton,Jonjo Shelvey,2019-09-21 16:30:00,11699,2019,"(0.9059999847412109, 0.46799999237060547)"
320619,Head,FromCorner,MissedShots,0.026403924450278282,40,0,0,Fabian Schär,76,h,Newcastle United,Brighton,Jonjo Shelvey,2019-09-21 16:30:00,11699,2019,"(0.905, 0.5070000076293946)"
320614,LeftFoot,OpenPlay,SavedShot,0.3678475320339203,21,0,0,Miguel Almirón,7420,h,Newcastle United,Brighton,Isaac Hayden,2019-09-21 16:30:00,11699,2019,"(0.87, 0.5690000152587891)"
320610,LeftFoot,OpenPlay,BlockedShot,0.03780195116996765,7,0,0,Jetro Willems,6143,h,Newcastle United,Brighton,Joelinton,2019-09-21 16:30:00,11699,2019,"(0.9209999847412109, 0.710999984741211)"
320628,RightFoot,OpenPlay,SavedShot,0.012761619873344898,63,0,0,Jonjo Shelvey,769,h,Newcastle United,Brighton,Paul Dummett,2019-09-21 16:30:00,11699,2019,"(0.7240000152587891, 0.6859999847412109)"
320631,LeftFoot,OpenPlay,MissedShots,0.025790967047214508,71,0,0,Fabian Schär,76,h,Newcastle United,Brighton,Jonjo Shelvey,2019-09-21 16:30:00,11699,2019,"(0.8009999847412109, 0.395)"
320633,LeftFoot,OpenPlay,BlockedShot,0.10976912081241608,74,0,0,Joelinton,87,h,Newcastle United,Brighton,Allan Saint-Maximin,2019-09-21 16:30:00,11699,2019,"(0.8819999694824219, 0.6270000076293946)"
320622,LeftFoot,OpenPlay,MissedShots,0.11766590178012848,45,0,0,Christian Atsu,2344,h,Newcastle United,Brighton,Joelinton,2019-09-21 16:30:00,11699,2019,"(0.8930000305175781, 0.42400001525878905)"
320636,RightFoot,OpenPlay,MissedShots,0.04251881316304207,89,0,0,Joelinton,87,h,Newcastle United,Brighton,Ki Sung-yueng,2019-09-21 16:30:00,11699,2019,"(0.7909999847412109, 0.48900001525878906)"
