,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
200248,RightFoot,SetPiece,BlockedShot,0.064342200756073,27,1,0,Memphis Depay,555,h,Manchester United,Tottenham,Ashley Young,2015-08-08 15:45:00,81,2015,"(0.86, 0.6270000076293946)"
200249,LeftFoot,OpenPlay,BlockedShot,0.05715681612491608,35,1,0,Juan Mata,554,h,Manchester United,Tottenham,Wayne Rooney,2015-08-08 15:45:00,81,2015,"(0.8430000305175781, 0.33299999237060546)"
200247,LeftFoot,DirectFreekick,BlockedShot,0.10434672236442566,27,1,0,Juan Mata,554,h,Manchester United,Tottenham,,2015-08-08 15:45:00,81,2015,"(0.794000015258789, 0.4209999847412109)"
200254,RightFoot,OpenPlay,SavedShot,0.10300426185131073,64,1,0,Ashley Young,631,h,Manchester United,Tottenham,,2015-08-08 15:45:00,81,2015,"(0.8959999847412109, 0.5970000076293945)"
200255,RightFoot,OpenPlay,MissedShots,0.10651306062936783,72,1,0,Wayne Rooney,629,h,Manchester United,Tottenham,Matteo Darmian,2015-08-08 15:45:00,81,2015,"(0.89, 0.534000015258789)"
200251,RightFoot,OpenPlay,BlockedShot,0.03574201464653015,40,1,0,Memphis Depay,555,h,Manchester United,Tottenham,Michael Carrick,2015-08-08 15:45:00,81,2015,"(0.8119999694824219, 0.7069999694824218)"
200250,LeftFoot,OpenPlay,MissedShots,0.09214138984680176,35,1,0,Juan Mata,554,h,Manchester United,Tottenham,,2015-08-08 15:45:00,81,2015,"(0.8480000305175781, 0.5329999923706055)"
200256,RightFoot,DirectFreekick,MissedShots,0.043067652732133865,76,1,0,Wayne Rooney,629,h,Manchester United,Tottenham,,2015-08-08 15:45:00,81,2015,"(0.7469999694824219, 0.6940000152587891)"
200253,LeftFoot,OpenPlay,MissedShots,0.02122466452419758,49,1,0,Memphis Depay,555,h,Manchester United,Tottenham,Wayne Rooney,2015-08-08 15:45:00,81,2015,"(0.725, 0.545)"
51729,RightFoot,OpenPlay,MissedShots,0.32229530811309814,72,1,0,Memphis Depay,555,a,Manchester United,Aston Villa,Juan Mata,2015-08-14 22:45:00,91,2015,"(0.8430000305175781, 0.59)"
51731,RightFoot,OpenPlay,SavedShot,0.029170751571655273,77,1,0,Memphis Depay,555,a,Manchester United,Aston Villa,Ander Herrera,2015-08-14 22:45:00,91,2015,"(0.7559999847412109, 0.5359999847412109)"
51727,RightFoot,FromCorner,BlockedShot,0.021055730059742928,66,1,0,Memphis Depay,555,a,Manchester United,Aston Villa,Juan Mata,2015-08-14 22:45:00,91,2015,"(0.8580000305175781, 0.805)"
51721,Head,OpenPlay,MissedShots,0.03206436708569527,26,1,0,Memphis Depay,555,a,Manchester United,Aston Villa,Adnan Januzaj,2015-08-14 22:45:00,91,2015,"(0.9, 0.5990000152587891)"
51720,RightFoot,OpenPlay,BlockedShot,0.04957941547036171,22,1,0,Memphis Depay,555,a,Manchester United,Aston Villa,Wayne Rooney,2015-08-14 22:45:00,91,2015,"(0.8690000152587891, 0.6630000305175782)"
51719,RightFoot,OpenPlay,BlockedShot,0.009359020739793777,21,1,0,Memphis Depay,555,a,Manchester United,Aston Villa,Wayne Rooney,2015-08-14 22:45:00,91,2015,"(0.7319999694824219, 0.7)"
51722,RightFoot,OpenPlay,Goal,0.12003669142723083,28,1,0,Adnan Januzaj,323,a,Manchester United,Aston Villa,Juan Mata,2015-08-14 22:45:00,91,2015,"(0.9459999847412109, 0.649000015258789)"
51728,RightFoot,DirectFreekick,MissedShots,0.032488346099853516,68,1,0,Memphis Depay,555,a,Manchester United,Aston Villa,,2015-08-14 22:45:00,91,2015,"(0.7240000152587891, 0.73)"
51718,Head,SetPiece,MissedShots,0.044353920966386795,15,1,0,Morgan Schneiderlin,551,a,Manchester United,Aston Villa,Memphis Depay,2015-08-14 22:45:00,91,2015,"(0.9540000152587891, 0.3820000076293945)"
56796,RightFoot,OpenPlay,SavedShot,0.016407398506999016,5,0,0,Wayne Rooney,629,h,Manchester United,Newcastle United,Bastian Schweinsteiger,2015-08-22 15:45:00,101,2015,"(0.715, 0.44299999237060544)"
56800,RightFoot,OpenPlay,SavedShot,0.037273623049259186,15,0,0,Wayne Rooney,629,h,Manchester United,Newcastle United,Luke Shaw,2015-08-22 15:45:00,101,2015,"(0.8119999694824219, 0.6409999847412109)"
56812,RightFoot,OpenPlay,BlockedShot,0.06436607241630554,71,0,0,Wayne Rooney,629,h,Manchester United,Newcastle United,Juan Mata,2015-08-22 15:45:00,101,2015,"(0.84, 0.5359999847412109)"
56815,LeftFoot,OpenPlay,SavedShot,0.06924628466367722,75,0,0,Luke Shaw,1006,h,Manchester United,Newcastle United,Morgan Schneiderlin,2015-08-22 15:45:00,101,2015,"(0.8209999847412109, 0.5479999923706055)"
56814,LeftFoot,OpenPlay,MissedShots,0.044396668672561646,74,0,0,Juan Mata,554,h,Manchester United,Newcastle United,Wayne Rooney,2015-08-22 15:45:00,101,2015,"(0.9019999694824219, 0.6880000305175781)"
56799,LeftFoot,OpenPlay,SavedShot,0.06358390301465988,14,0,0,Juan Mata,554,h,Manchester United,Newcastle United,Matteo Darmian,2015-08-22 15:45:00,101,2015,"(0.8809999847412109, 0.34)"
56813,RightFoot,OpenPlay,MissedShots,0.04512852802872658,72,0,0,Juan Mata,554,h,Manchester United,Newcastle United,Wayne Rooney,2015-08-22 15:45:00,101,2015,"(0.9230000305175782, 0.34200000762939453)"
56816,LeftFoot,OpenPlay,BlockedShot,0.04234008118510246,79,0,0,Juan Mata,554,h,Manchester United,Newcastle United,Chicharito,2015-08-22 15:45:00,101,2015,"(0.789000015258789, 0.46)"
56811,RightFoot,OpenPlay,BlockedShot,0.02770702913403511,62,0,0,Memphis Depay,555,h,Manchester United,Newcastle United,Daley Blind,2015-08-22 15:45:00,101,2015,"(0.7880000305175782, 0.649000015258789)"
56810,RightFoot,DirectFreekick,BlockedShot,0.04620923846960068,57,0,0,Memphis Depay,555,h,Manchester United,Newcastle United,,2015-08-22 15:45:00,101,2015,"(0.7519999694824219, 0.6859999847412109)"
56802,RightFoot,OpenPlay,SavedShot,0.0333583764731884,21,0,0,Memphis Depay,555,h,Manchester United,Newcastle United,Juan Mata,2015-08-22 15:45:00,101,2015,"(0.91, 0.7319999694824219)"
56795,RightFoot,OpenPlay,SavedShot,0.019706789404153824,2,0,0,Memphis Depay,555,h,Manchester United,Newcastle United,Luke Shaw,2015-08-22 15:45:00,101,2015,"(0.779000015258789, 0.715)"
56797,LeftFoot,DirectFreekick,SavedShot,0.06646641343832016,11,0,0,Juan Mata,554,h,Manchester United,Newcastle United,,2015-08-22 15:45:00,101,2015,"(0.7769999694824219, 0.34900001525878904)"
56821,RightFoot,OpenPlay,BlockedShot,0.029377441853284836,92,0,0,Michael Carrick,654,h,Manchester United,Newcastle United,,2015-08-22 15:45:00,101,2015,"(0.774000015258789, 0.46299999237060546)"
56817,LeftFoot,OpenPlay,SavedShot,0.38708755373954773,79,0,0,Chicharito,191,h,Manchester United,Newcastle United,,2015-08-22 15:45:00,101,2015,"(0.9119999694824219, 0.5670000076293945)"
56798,LeftFoot,OpenPlay,BlockedShot,0.02023770846426487,14,0,0,Adnan Januzaj,323,h,Manchester United,Newcastle United,Juan Mata,2015-08-22 15:45:00,101,2015,"(0.7659999847412109, 0.6659999847412109)"
56804,LeftFoot,OpenPlay,BlockedShot,0.05280770733952522,24,0,0,Adnan Januzaj,323,h,Manchester United,Newcastle United,Juan Mata,2015-08-22 15:45:00,101,2015,"(0.8619999694824219, 0.4329999923706055)"
56806,LeftFoot,OpenPlay,BlockedShot,0.014860285446047783,31,0,0,Daley Blind,548,h,Manchester United,Newcastle United,Juan Mata,2015-08-22 15:45:00,101,2015,"(0.740999984741211, 0.664000015258789)"
56818,RightFoot,OpenPlay,BlockedShot,0.06367074698209763,84,0,0,Antonio Valencia,627,h,Manchester United,Newcastle United,,2015-08-22 15:45:00,101,2015,"(0.9130000305175782, 0.41900001525878905)"
56819,Head,FromCorner,ShotOnPost,0.12125885486602783,90,0,0,Chris Smalling,628,h,Manchester United,Newcastle United,Memphis Depay,2015-08-22 15:45:00,101,2015,"(0.9369999694824219, 0.5259999847412109)"
57737,RightFoot,OpenPlay,MissedShots,0.10168150067329407,29,1,2,Wayne Rooney,629,a,Manchester United,Swansea,Chris Smalling,2015-08-30 19:00:00,120,2015,"(0.92, 0.445)"
57744,LeftFoot,OpenPlay,SavedShot,0.1328696608543396,59,1,2,Juan Mata,554,a,Manchester United,Swansea,Ander Herrera,2015-08-30 19:00:00,120,2015,"(0.93, 0.664000015258789)"
57742,RightFoot,OpenPlay,Goal,0.5704768896102905,47,1,2,Juan Mata,554,a,Manchester United,Swansea,Luke Shaw,2015-08-30 19:00:00,120,2015,"(0.9740000152587891, 0.445)"
57732,LeftFoot,OpenPlay,MissedShots,0.11079427599906921,20,1,2,Juan Mata,554,a,Manchester United,Swansea,Ander Herrera,2015-08-30 19:00:00,120,2015,"(0.9059999847412109, 0.38799999237060545)"
57731,LeftFoot,OpenPlay,MissedShots,0.038869500160217285,2,1,2,Juan Mata,554,a,Manchester United,Swansea,Ander Herrera,2015-08-30 19:00:00,120,2015,"(0.7719999694824219, 0.47)"
57729,RightFoot,OpenPlay,BlockedShot,0.020953170955181122,0,1,2,Morgan Schneiderlin,551,a,Manchester United,Swansea,Juan Mata,2015-08-30 19:00:00,120,2015,"(0.775, 0.3770000076293945)"
57738,RightFoot,OpenPlay,SavedShot,0.1129617914557457,33,1,2,Wayne Rooney,629,a,Manchester United,Swansea,Ander Herrera,2015-08-30 19:00:00,120,2015,"(0.8690000152587891, 0.6819999694824219)"
57748,Head,OpenPlay,MissedShots,0.07327556610107422,73,1,2,Memphis Depay,555,a,Manchester United,Swansea,Ashley Young,2015-08-30 19:00:00,120,2015,"(0.914000015258789, 0.5520000076293945)"
57730,RightFoot,DirectFreekick,SavedShot,0.04779467359185219,1,1,2,Memphis Depay,555,a,Manchester United,Swansea,,2015-08-30 19:00:00,120,2015,"(0.7380000305175781, 0.629000015258789)"
57743,Head,OpenPlay,MissedShots,0.05165030062198639,53,1,2,Wayne Rooney,629,a,Manchester United,Swansea,Luke Shaw,2015-08-30 19:00:00,120,2015,"(0.935, 0.41)"
57739,LeftFoot,OpenPlay,MissedShots,0.019565951079130173,35,1,2,Ander Herrera,552,a,Manchester United,Swansea,Morgan Schneiderlin,2015-08-30 19:00:00,120,2015,"(0.7440000152587891, 0.5629999923706055)"
57919,LeftFoot,OpenPlay,BlockedShot,0.021042993292212486,78,3,1,Marouane Fellaini,630,h,Manchester United,Liverpool,,2015-09-12 20:30:00,127,2015,"(0.785, 0.3240000152587891)"
57906,RightFoot,OpenPlay,MissedShots,0.0156059879809618,6,3,1,Marouane Fellaini,630,h,Manchester United,Liverpool,Juan Mata,2015-09-12 20:30:00,127,2015,"(0.755, 0.34)"
57922,RightFoot,OpenPlay,Goal,0.430955171585083,85,3,1,Anthony Martial,553,h,Manchester United,Liverpool,Ashley Young,2015-09-12 20:30:00,127,2015,"(0.9130000305175782, 0.6140000152587891)"
57911,RightFoot,OpenPlay,BlockedShot,0.042228952050209045,49,3,1,Ashley Young,631,h,Manchester United,Liverpool,Matteo Darmian,2015-09-12 20:30:00,127,2015,"(0.7859999847412109, 0.5479999923706055)"
57909,RightFoot,OpenPlay,BlockedShot,0.02260417304933071,45,3,1,Ashley Young,631,h,Manchester United,Liverpool,Marouane Fellaini,2015-09-12 20:30:00,127,2015,"(0.7759999847412109, 0.6)"
57916,RightFoot,Penalty,Goal,0.7611688375473022,69,3,1,Ander Herrera,552,h,Manchester United,Liverpool,,2015-09-12 20:30:00,127,2015,"(0.885, 0.5)"
57913,RightFoot,DirectFreekick,MissedShots,0.07201516628265381,60,3,1,Ashley Young,631,h,Manchester United,Liverpool,,2015-09-12 20:30:00,127,2015,"(0.7619999694824219, 0.5579999923706055)"
57910,LeftFoot,SetPiece,Goal,0.08316557109355927,48,3,1,Daley Blind,548,h,Manchester United,Liverpool,Juan Mata,2015-09-12 20:30:00,127,2015,"(0.8480000305175781, 0.48200000762939454)"
57908,RightFoot,SetPiece,MissedShots,0.013276834972202778,24,3,1,Memphis Depay,555,h,Manchester United,Liverpool,Michael Carrick,2015-09-12 20:30:00,127,2015,"(0.7119999694824218, 0.725999984741211)"
58223,RightFoot,OpenPlay,MissedShots,0.06259822845458984,16,3,2,Anthony Martial,553,a,Manchester United,Southampton,Memphis Depay,2015-09-20 19:00:00,139,2015,"(0.82, 0.504000015258789)"
58229,RightFoot,OpenPlay,Goal,0.3434542119503021,33,3,2,Anthony Martial,553,a,Manchester United,Southampton,,2015-09-20 19:00:00,139,2015,"(0.919000015258789, 0.515)"
58231,RightFoot,OpenPlay,Goal,0.32204970717430115,49,3,2,Anthony Martial,553,a,Manchester United,Southampton,,2015-09-20 19:00:00,139,2015,"(0.850999984741211, 0.5970000076293945)"
58236,LeftFoot,DirectFreekick,BlockedShot,0.07023954391479492,73,3,2,Juan Mata,554,a,Manchester United,Southampton,,2015-09-20 19:00:00,139,2015,"(0.785, 0.34200000762939453)"
58235,LeftFoot,OpenPlay,Goal,0.3311961591243744,67,3,2,Juan Mata,554,a,Manchester United,Southampton,,2015-09-20 19:00:00,139,2015,"(0.8519999694824218, 0.4809999847412109)"
58226,Head,OpenPlay,MissedShots,0.23831024765968323,23,3,2,Memphis Depay,555,a,Manchester United,Southampton,Juan Mata,2015-09-20 19:00:00,139,2015,"(0.909000015258789, 0.5579999923706055)"
58232,RightFoot,OpenPlay,MissedShots,0.014221633784472942,52,3,2,Memphis Depay,555,a,Manchester United,Southampton,,2015-09-20 19:00:00,139,2015,"(0.7040000152587891, 0.6669999694824219)"
58237,RightFoot,DirectFreekick,MissedShots,0.09844664484262466,78,3,2,Memphis Depay,555,a,Manchester United,Southampton,,2015-09-20 19:00:00,139,2015,"(0.7880000305175782, 0.57)"
58234,RightFoot,OpenPlay,ShotOnPost,0.11236564815044403,67,3,2,Memphis Depay,555,a,Manchester United,Southampton,Bastian Schweinsteiger,2015-09-20 19:00:00,139,2015,"(0.8959999847412109, 0.615999984741211)"
58230,LeftFoot,FromCorner,BlockedShot,0.09552024304866791,41,3,2,Morgan Schneiderlin,551,a,Manchester United,Southampton,Juan Mata,2015-09-20 19:00:00,139,2015,"(0.909000015258789, 0.5509999847412109)"
58409,RightFoot,OpenPlay,BlockedShot,0.022806305438280106,44,3,0,Wayne Rooney,629,h,Manchester United,Sunderland,Memphis Depay,2015-09-26 18:00:00,146,2015,"(0.769000015258789, 0.35900001525878905)"
58412,RightFoot,OpenPlay,Goal,0.665692150592804,45,3,0,Wayne Rooney,629,h,Manchester United,Sunderland,Anthony Martial,2015-09-26 18:00:00,146,2015,"(0.9719999694824218, 0.475)"
58405,LeftFoot,DirectFreekick,BlockedShot,0.09970543533563614,16,3,0,Juan Mata,554,h,Manchester United,Sunderland,,2015-09-26 18:00:00,146,2015,"(0.8140000152587891, 0.35)"
58408,RightFoot,DirectFreekick,SavedShot,0.06466484069824219,38,3,0,Memphis Depay,555,h,Manchester United,Sunderland,,2015-09-26 18:00:00,146,2015,"(0.7669999694824219, 0.6279999923706054)"
58411,RightFoot,OpenPlay,Goal,0.8881636261940002,48,3,0,Memphis Depay,555,h,Manchester United,Sunderland,Juan Mata,2015-09-26 18:00:00,146,2015,"(0.975999984741211, 0.5229999923706055)"
58417,RightFoot,OpenPlay,SavedShot,0.303596556186676,66,3,0,Memphis Depay,555,h,Manchester United,Sunderland,Anthony Martial,2015-09-26 18:00:00,146,2015,"(0.855, 0.44400001525878907)"
58422,LeftFoot,OpenPlay,Goal,0.5242916941642761,89,3,0,Juan Mata,554,h,Manchester United,Sunderland,,2015-09-26 18:00:00,146,2015,"(0.9209999847412109, 0.42)"
58419,LeftFoot,OpenPlay,SavedShot,0.09228257834911346,77,3,0,Juan Mata,554,h,Manchester United,Sunderland,Wayne Rooney,2015-09-26 18:00:00,146,2015,"(0.8209999847412109, 0.5229999923706055)"
58404,LeftFoot,SetPiece,BlockedShot,0.022003494203090668,13,3,0,Juan Mata,554,h,Manchester United,Sunderland,Michael Carrick,2015-09-26 18:00:00,146,2015,"(0.784000015258789, 0.669000015258789)"
58407,RightFoot,OpenPlay,SavedShot,0.018923969939351082,24,3,0,Memphis Depay,555,h,Manchester United,Sunderland,,2015-09-26 18:00:00,146,2015,"(0.7519999694824219, 0.5659999847412109)"
58420,LeftFoot,OpenPlay,BlockedShot,0.13946834206581116,87,3,0,Wayne Rooney,629,h,Manchester United,Sunderland,Ashley Young,2015-09-26 18:00:00,146,2015,"(0.919000015258789, 0.5479999923706055)"
58418,Head,OpenPlay,MissedShots,0.05549782142043114,69,3,0,Anthony Martial,553,h,Manchester United,Sunderland,Antonio Valencia,2015-09-26 18:00:00,146,2015,"(0.9009999847412109, 0.43099998474121093)"
58638,LeftFoot,OpenPlay,MissedShots,0.0359128974378109,70,0,3,Juan Mata,554,a,Manchester United,Arsenal,Bastian Schweinsteiger,2015-10-04 19:00:00,160,2015,"(0.7880000305175782, 0.4209999847412109)"
58633,RightFoot,OpenPlay,SavedShot,0.028373323380947113,48,0,3,Ashley Young,631,a,Manchester United,Arsenal,Juan Mata,2015-10-04 19:00:00,160,2015,"(0.7569999694824219, 0.5520000076293945)"
58632,LeftFoot,OpenPlay,SavedShot,0.40574339032173157,44,0,3,Anthony Martial,553,a,Manchester United,Arsenal,Matteo Darmian,2015-10-04 19:00:00,160,2015,"(0.9080000305175782, 0.524000015258789)"
58641,RightFoot,OpenPlay,MissedShots,0.028565268963575363,83,0,3,Antonio Valencia,627,a,Manchester United,Arsenal,Anthony Martial,2015-10-04 19:00:00,160,2015,"(0.8209999847412109, 0.3089999961853027)"
58630,RightFoot,OpenPlay,SavedShot,0.01656283810734749,36,0,3,Wayne Rooney,629,a,Manchester United,Arsenal,Juan Mata,2015-10-04 19:00:00,160,2015,"(0.799000015258789, 0.3240000152587891)"
58636,RightFoot,FromCorner,SavedShot,0.029976774007081985,61,0,3,Wayne Rooney,629,a,Manchester United,Arsenal,Marouane Fellaini,2015-10-04 19:00:00,160,2015,"(0.7959999847412109, 0.5779999923706055)"
58643,RightFoot,OpenPlay,MissedShots,0.008547525852918625,85,0,3,Wayne Rooney,629,a,Manchester United,Arsenal,,2015-10-04 19:00:00,160,2015,"(0.725, 0.3820000076293945)"
58640,LeftFoot,OpenPlay,BlockedShot,0.011008128523826599,76,0,3,Juan Mata,554,a,Manchester United,Arsenal,Antonio Valencia,2015-10-04 19:00:00,160,2015,"(0.7609999847412109, 0.3089999961853027)"
58637,RightFoot,OpenPlay,SavedShot,0.4748414158821106,67,0,3,Bastian Schweinsteiger,907,a,Manchester United,Arsenal,Wayne Rooney,2015-10-04 19:00:00,160,2015,"(0.92, 0.5129999923706055)"
58965,RightFoot,FromCorner,SavedShot,0.07755120098590851,78,3,0,Anthony Martial,553,a,Manchester United,Everton,Chris Smalling,2015-10-17 18:00:00,166,2015,"(0.9719999694824218, 0.6040000152587891)"
58963,LeftFoot,OpenPlay,SavedShot,0.30507105588912964,68,3,0,Wayne Rooney,629,a,Manchester United,Everton,Anthony Martial,2015-10-17 18:00:00,166,2015,"(0.915, 0.6120000076293945)"
58960,RightFoot,OpenPlay,Goal,0.23540787398815155,61,3,0,Wayne Rooney,629,a,Manchester United,Everton,Ander Herrera,2015-10-17 18:00:00,166,2015,"(0.875, 0.3609999847412109)"
